test
;Temps;Déplacement machine;Charge;Charge interpolée VIC;Déformation interpolée VIC;Déplacement Delta_L interpolé
231;22.852;1.1395000000000017;4170.16602;4137.77595890411;0.014480018493150684;0.3434572602739726
232;22.952;1.144210000000001;4171.14307;4133.690342465754;0.01447854589041096;0.34341616438356165
233;23.052;1.1492600000000017;4168.11279;4129.604726027397;0.014477073287671232;0.3433750684931507
234;23.152;1.1542200000000022;4155.78516;4125.519109589041;0.014475600684931507;0.34333397260273973
235;23.252;1.1596100000000007;4158.59814;4129.025510204082;0.014476973469387755;0.3433874693877551
236;23.352;1.1641100000000009;4145.86523;4136.442949907236;0.014479812059369202;0.3434896957328386
237;23.452;1.16939;4179.03174;4143.86038961039;0.01448265064935065;0.34359192207792205
238;23.552;1.174190000000003;4165.61865;4151.277829313543;0.014485489239332097;0.34369414842300555
239;23.652;1.1795800000000014;4173.56152;4158.695269016698;0.014488327829313544;0.34379637476808905
240;23.752;1.184070000000002;4178.50049;4164.005;0.014490525;0.3438774
241;23.852;1.1894300000000015;4177.17188;4163.6161111111105;0.014490987962962963;0.3439011037037037
242;23.952;1.1942500000000003;4171.57324;4163.227222222222;0.014491450925925926;0.3439248074074074
243;24.052;1.1995500000000021;4179.86133;4162.838333333333;0.014491913888888888;0.3439485111111111
244;24.152;1.2041200000000032;4176.9082;4162.449444444444;0.01449237685185185;0.3439722148148148
245;24.252;1.2095500000000001;4171.96973;4162.060555555556;0.014492839814814815;0.3439959185185185
246;24.352;1.21434;4172.47607;4160.406439114391;0.014491792435424354;0.34395036346863467
247;24.452;1.2195;4177.00732;4158.563265682657;0.014490519372693727;0.3438944594095941
248;24.552;1.2241600000000012;4189.78027;4156.720092250923;0.0144892463099631;0.3438385553505535
249;24.652;1.229370000000003;4165.99219;4154.876918819188;0.014487973247232472;0.3437826512915129
250;24.752;1.2344300000000032;4126.79199;4153.0337453874545;0.014486700184501846;0.3437267472324723
251;24.852;1.2392700000000012;4130.35938;4152.747695167287;0.014487664498141265;0.34371992193308554
252;24.952;1.2442700000000002;4168.55029;4154.364795539034;0.014491363382899629;0.34377308178438665
253;25.052;1.2493000000000016;4169.04932;4155.9818959107815;0.014495062267657994;0.34382624163568776
254;25.152;1.2545600000000015;4166.15381;4157.598996282528;0.014498761152416358;0.34387940148698887
255;25.252;1.2591600000000014;4164.79785;4159.216096654275;0.014502460037174722;0.34393256133829
256;25.352;1.2643800000000027;4160.58496;4160.557982905983;0.014505737264957266;0.3439805282051282
257;25.452;1.2691500000000033;4170.05713;4158.2434529914535;0.01450341247863248;0.34395950256410257
258;25.552;1.2745300000000022;4164.89014;4155.928923076924;0.014501087692307693;0.34393847692307694
259;25.652;1.2790800000000004;4175.51562;4153.614393162394;0.014498762905982907;0.3439174512820513
260;25.752;1.2845000000000013;4160.14307;4151.299863247864;0.01449643811965812;0.3438964256410257
261;25.852;1.28913;4158.37158;4148.985333333334;0.014494113333333334;0.34387540000000005
262;25.952;1.2946000000000026;4152.66553;4147.705555555555;0.01449296;0.34387228148148147
263;26.052;1.2991400000000013;4156.93799;4150.094444444444;0.014495959999999999;0.34393265185185184
264;26.152;1.3045700000000018;4155.72363;4152.483333333333;0.01449896;0.3439930222222222
265;26.252;1.30931;4145.96094;4154.872222222222;0.01450196;0.3440533925925926
266;26.352;1.3144500000000008;4153.58057;4157.261111111111;0.01450496;0.344113762962963
267;26.452;1.3190800000000031;4158.70264;4159.65;0.01450796;0.34417413333333335
268;26.552;1.3245200000000033;4172.52246;4159.334290598291;0.014510083931623933;0.3442231264957265
269;26.652;1.3293200000000027;4173.81006;4158.424888888889;0.014512015555555556;0.34426962222222224
270;26.752;1.3343700000000034;4149.54199;4157.5154871794875;0.01451394717948718;0.34431611794871797
271;26.852;1.3391300000000008;4161.43799;4156.606085470085;0.014515878803418803;0.3443626136752137
272;26.952;1.3445200000000028;4161.87012;4155.696683760684;0.014517810427350427;0.3444091094017094
273;27.052;1.3494600000000005;4176.13916;4154.787282051283;0.01451974205128205;0.3444556051282051
274;27.152;1.3542400000000008;4167.28467;4158.408277777777;0.014519045555555556;0.3444510722222222
275;27.252;1.3592400000000033;4178.61816;4162.1693888888885;0.014518267777777778;0.3444449611111111
276;27.352;1.364250000000002;4168.96338;4165.9304999999995;0.01451749;0.34443885
277;27.452;1.3695500000000003;4182.10107;4169.69161111111;0.014516712222222223;0.3444327388888889
278;27.552;1.3740800000000029;4178.75928;4173.452722222222;0.014515934444444444;0.34442662777777777
279;27.652;1.379360000000002;4197.03711;4175.666307692308;0.014517792307692307;0.3444580051282051
280;27.752;1.3842000000000034;4189.64111;4176.712461538461;0.014521638461538462;0.34451766324786326
281;27.852;1.3896500000000032;4172.56836;4177.758615384615;0.014525484615384615;0.34457732136752134
282;27.952;1.3941000000000017;4188.96143;4178.804769230769;0.014529330769230768;0.3446369794871795
283;28.052;1.399510000000003;4204.40576;4179.850923076922;0.014533176923076922;0.3446966376068376
